N,City,State,Name,Address,Type,Food,Tourist Attraction,Museum,Park,Shopping,Entertainment,Accommodation,Government,Rating,Total Ratings,Status,Latitude,Longitude,Open Now,Price Level,Website,Local Phone,International Phone,Permanently Closed,Place ID,Viewport,Icon URL
13,New York City,New York,Brooklyn Bridge Park,Brooklyn,"Park, Tourist Attraction, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.8,38750,OPERATIONAL,40.7022422,-73.9958601,0,No data,No data,No data,No data,0,ChIJjaFpo0ZawokRBcOFUZ13CaE,"{'northeast': {'lat': 40.70897915, 'lng': -73.98928985000002}, 'southwest': {'lat': 40.68643855000001, 'lng': -74.00436925}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
14,New York City,New York,Carnegie Hall,"881 7th Avenue, New York","Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.7,8224,OPERATIONAL,40.7651258,-73.9799236,0,No data,No data,No data,No data,0,ChIJ2RFUePdYwokRd5R6XF6xFD0,"{'northeast': {'lat': 40.7666136302915, 'lng': -73.97846401970848}, 'southwest': {'lat': 40.7639156697085, 'lng': -73.98116198029149}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
15,New York City,New York,Prospect Park,Brooklyn,"Park, Tourist Attraction, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.7,26040,OPERATIONAL,40.6602037,-73.9689558,0,0,No data,No data,No data,0,ChIJQwRohxBbwokRmHrfAMb3ixc,"{'northeast': {'lat': 40.68330030000001, 'lng': -73.95329260000001}, 'southwest': {'lat': 40.64052509999999, 'lng': -73.98829219999999}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
16,New York City,New York,American Museum of Natural History,"200 Central Park West, New York","Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.5,19957,OPERATIONAL,40.7813241,-73.9739882,0,No data,No data,No data,No data,0,ChIJCXoPsPRYwokRsV1MYnKBfaI,"{'northeast': {'lat': 40.78294769999999, 'lng': -73.97157354999997}, 'southwest': {'lat': 40.7799797, 'lng': -73.97596895}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
17,New York City,New York,Madame Tussauds New York,"234 West 42nd Street, New York","Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.5,25974,OPERATIONAL,40.7564269,-73.9888338,0,3,No data,No data,No data,0,ChIJ8VOfr1RYwokRhil9_pcMKuc,"{'northeast': {'lat': 40.75785258029149, 'lng': -73.98717451970849}, 'southwest': {'lat': 40.75515461970849, 'lng': -73.9898724802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
18,New York City,New York,Central Park Zoo,"East 64th Street, New York","Zoo, Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.4,23070,OPERATIONAL,40.767778,-73.9718335,0,No data,No data,No data,No data,0,ChIJaWjW_PFYwokRFD8a2YQu12U,"{'northeast': {'lat': 40.7689385802915, 'lng': -73.96989795}, 'southwest': {'lat': 40.7662406197085, 'lng': -73.97281374999999}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
19,New York City,New York,Discovery Times Square,"226 West 44th Street, New York","Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.3,217,OPERATIONAL,40.7577167,-73.9873667,0,No data,No data,No data,No data,0,ChIJI0CljFRYwokR3RaPoS2QsN0,"{'northeast': {'lat': 40.7591381302915, 'lng': -73.9858672197085}, 'southwest': {'lat': 40.7564401697085, 'lng': -73.9885651802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
20,New York City,New York,Brooklyn Museum,"200 Eastern Parkway, Brooklyn","Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.7,9330,OPERATIONAL,40.6712062,-73.9636306,0,No data,No data,No data,No data,0,ChIJyTmcRApbwokR-oXJRqpVI8Y,"{'northeast': {'lat': 40.67298250000001, 'lng': -73.96131729999999}, 'southwest': {'lat': 40.6687853, 'lng': -73.96554410000002}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
21,New York City,New York,M&M'S New York,"1600 Broadway, New York","Tourist Attraction, Food, Store, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.4,35607,OPERATIONAL,40.7601775,-73.9843631,0,2,No data,No data,No data,0,ChIJHfPuClZYwokRP2wzLQjhuEI,"{'northeast': {'lat': 40.7613951802915, 'lng': -73.9829702697085}, 'southwest': {'lat': 40.7586972197085, 'lng': -73.98566823029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png
22,New York City,New York,Brooklyn Bridge,New York,"Landmark, Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.8,73987,OPERATIONAL,40.7060855,-73.9968643,0,No data,No data,No data,No data,0,ChIJK3vOQyNawokRXEa9errdJiU,"{'northeast': {'lat': 40.7192285, 'lng': -73.9812243}, 'southwest': {'lat': 40.6886497, 'lng': -74.01128510000001}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
23,New York City,New York,New York Stock Exchange,"11 Wall Street, New York","Tourist Attraction, Finance, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.3,2467,OPERATIONAL,40.706877,-74.0112654,0,No data,No data,No data,No data,0,ChIJodiAGRZawokRHXCBqdWXV54,"{'northeast': {'lat': 40.70822598029149, 'lng': -74.00991641970849}, 'southwest': {'lat': 40.7055280197085, 'lng': -74.0126143802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
24,New York City,New York,Washington Square Park,"Washington Square, New York","Park, Tourist Attraction, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.6,27085,OPERATIONAL,40.7308838,-73.997332,0,No data,No data,No data,No data,0,ChIJjX494pBZwokRGH620d9eYfo,"{'northeast': {'lat': 40.7333674, 'lng': -73.99379435000002}, 'southwest': {'lat': 40.72847220000001, 'lng': -74.00132615}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
25,New York City,New York,Chrysler Building,"405 Lexington Avenue, New York","Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.6,5874,OPERATIONAL,40.7516208,-73.975502,0,No data,No data,No data,No data,0,ChIJeWPFRwJZwokRGD60OOo74RU,"{'northeast': {'lat': 40.7528945802915, 'lng': -73.9743004197085}, 'southwest': {'lat': 40.7501966197085, 'lng': -73.9769983802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
26,New York City,New York,Whitney Museum of American Art,"99 Gansevoort Street, New York","Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.5,12412,OPERATIONAL,40.7395877,-74.0088629,0,No data,No data,No data,No data,0,ChIJN3MJ6pRYwokRiXg91flSP8Y,"{'northeast': {'lat': 40.74081343029151, 'lng': -74.0079022197085}, 'southwest': {'lat': 40.73811546970851, 'lng': -74.0106001802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
27,New York City,New York,David Zwirner,"525 West 19th Street, New York","Art Gallery, Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.5,730,OPERATIONAL,40.745866,-74.006985,0,No data,No data,No data,No data,0,ChIJMf7Re8dZwokRJ0Nyj2IixlM,"{'northeast': {'lat': 40.7471347302915, 'lng': -74.0056781197085}, 'southwest': {'lat': 40.7444367697085, 'lng': -74.00837608029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
28,New York City,New York,Flatiron Building,"175 5th Avenue, New York","Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.5,13182,OPERATIONAL,40.7410605,-73.9896986,0,No data,No data,No data,No data,0,ChIJZx8c96NZwokRJklw7SVhKt4,"{'northeast': {'lat': 40.74242753029149, 'lng': -73.9882100197085}, 'southwest': {'lat': 40.73972956970849, 'lng': -73.99090798029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
